score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Halo: Combat Evolved,/games/halo-combat-evolved/xbox-15922,Xbox,9.7,Shooter,Y,2001,11,9,6.43
Amazing,Halo 2,/games/halo-2/xbox-482228,Xbox,9.8,Shooter,Y,2004,11,7,8.49
Amazing,Halo 2 Multiplayer Map Pack,/games/halo-2-multiplayer-map-pack/xbox-742121,Xbox,9.0,Shooter,Y,2005,7,6,0.69
Amazing,Halo 3,/games/halo-3/xbox-360-734817,Xbox 360,9.5,Shooter,Y,2007,9,23,12.14
Great,Halo Wars,/games/halo-wars/xbox-360-857436,Xbox 360,8.4,Strategy,Y,2009,2,20,2.63
Amazing,Halo: Reach,/games/halo-reach/xbox-360-14276699,Xbox 360,9.5,Shooter,Y,2010,9,11,9.88
Amazing,Halo 4,/games/halo-4/xbox-360-110563,Xbox 360,9.8,Shooter,Y,2012,11,1,9.76
Okay,Halo: Spartan Assault,/games/halo-spartan-assault/winphone-20000222,Windows Phone,6.7,Shooter,N,2013,7,30,0.0
Amazing,Halo: The Master Chief Collection,/games/halo-the-master-chief-collection/xbox-one-20018413,Xbox One,9.0,Shooter,Y,2014,11,6,3.15
Amazing,Halo 5: Guardians,/games/halo-5/xbox-one-20000557,Xbox One,9.0,Shooter,Y,2015,10,26,4.26
