score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Tomb Raider -- Featuring Lara Croft,/games/tomb-raider-featuring-lara-croft/ps-97,PlayStation,9.3,Adventure,N,1996,12,13,0.0
Great,Tomb Raider II Starring Lara Croft,/games/tomb-raider-2-starring-lara-croft/ps-2128,PlayStation,8.0,Adventure,N,1997,11,24,0.0
Good,Tomb Raider III: Adventures of Lara Croft,/games/tomb-raider-3-adventures-of-lara-croft/pc-10338,PC,7.7,Action,N,1998,12,10,3.54
Good,Tomb Raider: The Last Revelation,/games/tomb-raider-the-last-revelation/pc-12059,PC,7.0,Action,N,1999,12,10,2.48
Mediocre,Tomb Raider Chronicles,/games/tomb-raider-chronicles/dc-15207,Dreamcast,5.8,"Action, Adventure",N,2000,11,30,0.61
Amazing,Tomb Raider: Curse of the Sword,/games/tomb-raider-curse-of-the-sword/gbc-16498,Game Boy Color,9.0,Action,Y,2001,7,6,0.0
Mediocre,Tomb Raider: The Angel of Darkness,/games/tomb-raider-the-angel-of-darkness/ps2-15583,PlayStation 2,5.3,"Action, Adventure",N,2003,6,24,0.0
Great,Tomb Raider: The Osiris Codex,/games/tomb-raider-the-osiris-codex/cell-608828,Wireless,8.0,Adventure,Y,2005,10,31,0.0
Great,Tomb Raider: Legend,/games/tomb-raider-legend/pc-739585,PC,8.2,"Action, Adventure",N,2006,4,5,0.52
Good,Tomb Raider Anniversary,/games/tomb-raider-anniversary/ps2-835742,PlayStation 2,7.8,Adventure,N,2007,6,1,0.0
Good,Tomb Raider Underworld,/games/tomb-raider-underworld/xbox-360-14224305,Xbox 360,7.5,"Action, Adventure",N,2008,11,19,0.0
Good,Tomb Raider Trilogy,/games/tomb-raider-trilogy/ps3-95864,PlayStation 3,7.5,"Adventure, Compilation",N,2011,3,28,0.0
Amazing,Tomb Raider,/games/tomb-raider/xbox-360-2506,Xbox 360,9.1,Action,Y,2013,2,25,4.63
Amazing,Tomb Raider: Definitive Edition,/games/tomb-raider-definitive-edition/xbox-one-20009691,Xbox One,9.1,Action,Y,2014,1,25,0.0
Amazing,Rise of the Tomb Raider,/games/rise-of-the-tomb-raider/xbox-one-20002867,Xbox One,9.3,"Action, Adventure",Y,2015,11,9,1.3
