score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Masterpiece,The Legend of Zelda: Ocarina of Time,/games/the-legend-of-zelda-ocarina-of-time/n64-437,Nintendo 64,10.0,"Action, Adventure",Y,1998,11,25,7.6
Masterpiece,The Legend of Zelda: Link's Awakening DX,/games/the-legend-of-zelda-links-awakening/gbc-10683,Game Boy Color,10.0,"Action, Adventure",Y,1999,9,17,2.22
Amazing,The Legend of Zelda: Majora's Mask,/games/the-legend-of-zelda-majoras-mask/n64-1933,Nintendo 64,9.9,"Action, Adventure",Y,2000,10,25,3.36
Masterpiece,The Legend of Zelda: Oracle of Ages,/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,Game Boy Color,10.0,"Action, Adventure",Y,2001,5,14,1.92
Amazing,The Legend of Zelda: A Link to the Past w/ the Four Swords,/games/the-legend-of-zelda-a-link-to-the-past-with-the-four-swords/gba-482080,Game Boy Advance,9.7,"Action, Adventure",Y,2002,12,3,0.0
Amazing,The Legend of Zelda: The Wind Waker,/games/the-legend-of-zelda-the-wind-waker/gcn-17012,GameCube,9.6,"Action, Adventure",Y,2003,3,21,4.6
Great,The Legend of Zelda: Four Swords Adventures,/games/the-legend-of-zelda-four-swords-adventures/gcn-566919,GameCube,8.7,"Action, Adventure",Y,2004,6,2,0.81
Amazing,The Legend of Zelda: The Minish Cap,/games/the-legend-of-zelda-the-minish-cap/gba-499614,Game Boy Advance,9.0,"Action, Adventure",Y,2005,1,10,1.42
Amazing,The Legend of Zelda: Twilight Princess,/games/the-legend-of-zelda-twilight-princess/wii-748589,Wii,9.5,"Action, Adventure",Y,2006,11,17,7.31
Amazing,The Legend of Zelda,/games/the-legend-of-zelda/wii-853198,Wii,9.0,"Action, Adventure",Y,2007,2,14,6.51
Amazing,The Legend of Zelda: Spirit Tracks,/games/the-legend-of-zelda-spirit-tracks/nds-14333936,Nintendo DS,9.3,"Action, Adventure",Y,2009,12,7,3.38
Masterpiece,The Legend of Zelda: Skyward Sword,/games/the-legend-of-zelda-skyward-sword/wii-872155,Wii,10.0,"Action, Adventure",Y,2011,11,11,4.1
Amazing,The Legend of Zelda: A Link Between Worlds,/games/the-legend-of-zelda-a-link-between-worlds/3ds-121949,Nintendo 3DS,9.4,Adventure,Y,2013,11,14,3.07
Great,The Legend of Zelda: Majora's Mask 3D,/games/the-legend-of-zelda-majoras-mask-3d/3ds-20027281,Nintendo 3DS,8.7,Adventure,N,2015,2,4,2.32
Great,The Legend of Zelda: Twilight Princess HD,/games/the-legend-of-zelda-twilight-princess-hd/wii-u-20045908,Wii U,8.6,"Action, Adventure",N,2016,3,1,0.94
