score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Great,Marvel vs. Capcom: Clash of Super Heroes,/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967,Dreamcast,8.8,Fighting,Y,1999,10,7,0.78
Amazing,Marvel vs. Capcom 2: New Age of Heroes,/games/marvel-vs-capcom-2/dc-14736,Dreamcast,9.3,Fighting,Y,2000,6,29,0.76
Great,Capcom vs. SNK 2: Mark of the Millennium 2001,/games/capcom-vs-snk-2-fan/ps2-16519,PlayStation 2,8.4,Fighting,N,2001,11,6,0.75
Great,Capcom vs. SNK: Millennium Fight 2000 Pro,/games/capcom-vs-snk-millennium-fight-2000-pro/ps-487780,PlayStation,8.2,Fighting,N,2002,8,7,0.05
Okay,Capcom vs. SNK 2 EO,/games/capcom-vs-snk-2-eo/gcn-479980,GameCube,6.6,Fighting,N,2002,9,27,0.11
Okay,Capcom Fighting Evolution,/games/capcom-fighting-evolution/ps2-683099,PlayStation 2,6.8,Fighting,N,2004,11,16,0.2
Okay,SNK vs. Capcom: SVC Chaos,/games/snk-vs-capcom-svc-chaos/xbox-546478,Xbox,6.0,Fighting,N,2004,10,8,0.1
Good,Capcom Classics Collection Remixed,/games/capcom-classics-collection-remixed/psp-773318,PlayStation Portable,7.4,"Action, Compilation",N,2006,3,17,0.3
Great,Capcom Classics Collection Reloaded,/games/capcom-classics-collection-reloaded/psp-822201,PlayStation Portable,8.0,"Action, Compilation",N,2006,10,18,0.33
Awful,SNK vs. Capcom Card Fighters DS,/games/snk-vs-capcom-card-fighters-ds/nds-814505,Nintendo DS,3.5,"Card, Battle",N,2007,5,17,0.1
Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2012,9,26,0.24
