score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Good,Street Fighter Alpha: Warriors' Dreams,/games/street-fighter-alpha/ps-181,PlayStation,7.0,Fighting,N,1996,11,25,0.76
Great,Street Fighter Alpha 2,/games/street-fighter-alpha-2/ps-476,PlayStation,8.5,Fighting,N,1996,12,11,0.85
Great,Street Fighter EX Plus Alpha,/games/street-fighter-ex-plus/ps-2120,PlayStation,8.3,Fighting,N,1997,10,26,0.75
Good,Street Fighter Collection,/games/street-fighter-collection/ps-2121,PlayStation,7.0,"Fighting, Compilation",N,1997,12,18,0.11
Okay,X-Men vs. Street Fighter,/games/x-men-vs-street-fighter/ps-39,PlayStation,6.0,Fighting,N,1998,6,11,0.42
Good,Marvel Super Heroes vs. Street Fighter,/games/marvel-super-heroes-vs-street-fighter/ps-10442,PlayStation,7.5,Fighting,N,1999,2,25,0.26
Amazing,Street Fighter Alpha 3,/games/street-fighter-alpha-3/ps-10362,PlayStation,9.3,Fighting,Y,1999,5,7,1.03
Great,Street Fighter Anniversary Collection,/games/street-fighter-anniversary-collection/ps2-674676,PlayStation 2,8.5,"Fighting, Compilation",Y,2004,8,26,0.66
Okay,Street Fighter II: The World Warrior,/games/street-fighter-ii/cell-705893,Wireless,6.8,Fighting,N,2006,3,8,6.3
Good,Street Fighter II Turbo,/games/street-fighter-ii-hyper-fighting/wii-901425,Wii,7.5,Fighting,N,2007,6,29,4.1
Amazing,Street Fighter IV,/games/street-fighter-iv/ps3-14211548,PlayStation 3,9.3,Fighting,N,2009,2,12,4.19
Amazing,Ultra Street Fighter IV,/games/ultra-street-fighter-4/xbox-360-20002351,Xbox 360,9.0,Fighting,Y,2014,6,3,0.1
Great,Street Fighter V,/games/street-fighter-5/pc-20028616,PC,8.0,Fighting,N,2016,2,15,0.82
