score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Tekken 2,/games/tekken-2/ps-475,PlayStation,9.0,Fighting,Y,1996,11,26,5.74
Good,Tekken,/games/tekken/ps-182,PlayStation,7.5,Fighting,N,1996,11,26,3.24
Amazing,Tekken 3,/games/tekken-3/ps-2294,PlayStation,9.3,Fighting,Y,1998,8,23,7.16
Great,Tekken Tag Tournament,/games/tekken-tag-tournament/ps2-13946,PlayStation 2,8.7,Fighting,Y,2000,10,23,4.05
Amazing,Tekken 4,/games/tekken-4/ps2-16600,PlayStation 2,9.0,Fighting,Y,2002,9,24,3.44
Great,Tekken Advance,/games/tekken-advance/gba-15221,Game Boy Advance,8.5,Action,Y,2002,1,30,0.45
Amazing,Tekken 5,/games/tekken-5/ps2-681191,PlayStation 2,9.3,Fighting,Y,2005,2,25,3.87
Great,Tekken 6,/games/tekken-6/ps3-748466,PlayStation 3,8.8,Fighting,Y,2009,10,23,2.78
Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,PlayStation 3,7.5,Fighting,N,2012,9,11,0.88
Good,Tekken 3D: Prime Edition,/games/tekken-3d-prime-edition/3ds-110797,Nintendo 3DS,7.5,Fighting,N,2012,2,14,0.2
