score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Great,Assassin's Creed,/games/assassins-creed/cell-9887290,Wireless,8.0,Action,Y,2007,11,5,5.55
Good,Assassin's Creed: Altair's Chronicles,/games/assassins-creed-altairs-chronicles/nds-906298,Nintendo DS,7.0,Action,N,2008,2,6,0.05
Great,Assassin's Creed II: Discovery,/games/assassins-creed-ii-discovery/nds-14341943,Nintendo DS,8.0,Action,N,2009,11,18,0.28
Okay,Assassin's Creed: Bloodlines,/games/assassins-creed-bloodlines/psp-14324830,PlayStation Portable,6.9,Action,N,2009,11,18,1.24
Amazing,Assassin's Creed II,/games/assassins-creed-ii/ps3-14302494,PlayStation 3,9.2,Action,Y,2009,11,17,5.57
Great,Assassin's Creed: Brotherhood,/games/assassins-creed-brotherhood/xbox-360-57512,Xbox 360,8.0,Action,N,2010,11,16,3.5
Great,Assassin's Creed: Revelations,/games/assassins-creed-revelations/xbox-360-76574,Xbox 360,8.5,"Action, Adventure",Y,2011,11,14,4.24
Great,Assassin's Creed III,/games/assassins-creed-iii/xbox-360-128701,Xbox 360,8.5,"Action, Adventure",N,2012,10,30,6.5
Good,Assassin's Creed III: Liberation,/games/assassins-creed-vita/vita-115670,PlayStation Vita,7.2,Action,N,2012,10,30,1.47
Great,Assassin's Creed IV: Black Flag,/games/assassins-creed-black-flag/wii-u-161488,Wii U,8.5,"Action, Adventure",N,2013,10,29,3.89
Okay,Assassin's Creed Chronicles: China,/games/assassins-creed-chronicles-china/ps4-20025148,PlayStation 4,6.4,Platformer,N,2015,4,21,0.04
Great,Assassin's Creed Syndicate,/games/assassins-creed-syndicate/ps4-20028362,PlayStation 4,8.2,Action,N,2015,10,22,3.28
