score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Mediocre,Batman Forever: The Arcade Game,/games/batman-forever/ps-318,PlayStation,5.0,Action,N,1996,11,2,0.03
Mediocre,Batman & Robin,/games/batman-robin/ps-2274,PlayStation,5.0,Action,N,1998,8,11,0.11
Okay,Batman Beyond: Return of the Joker,/games/batman-beyond-return-of-the-joker/gbc-14819,Game Boy Color,6.0,Action,N,2000,11,22,0.17
Okay,Batman: Rise of Sin Tzu,/games/batman-rise-of-sin-tzu/ps2-493300,PlayStation 2,6.5,Action,N,2003,10,17,0.35
Awful,Batman: Dark Tomorrow,/games/batman-dark-tomorrow/gcn-16563,GameCube,3.5,"Action, Adventure",N,2003,3,25,0.11
Good,Batman Begins,/games/batman-begins/cell-750795,Wireless,7.1,Action,N,2005,5,31,0.56
Good,LEGO Batman: The Videogame,/games/lego-batman-the-videogame/ps3-896274,PlayStation 3,7.7,"Action, Adventure",N,2008,9,23,3.38
Amazing,Batman: Arkham Asylum,/games/batman-arkham-asylum/ps3-14273490,PlayStation 3,9.3,Action,Y,2009,8,21,4.25
Amazing,Batman: Arkham City,/games/batman-arkham-city/xbox-360-55051,Xbox 360,9.5,Action,Y,2011,10,14,5.53
Mediocre,LEGO Batman 2: DC Super Heroes,/games/lego-batman-2-dc-super-heroes/3ds-124686,Nintendo 3DS,5.5,"Action, Adventure",N,2012,6,21,1.68
Good,Batman: Arkham Origins Blackgate,/games/batman-arkham-origins-blackgate/3ds-165723,Nintendo 3DS,7.4,Action,N,2013,10,25,0.53
Good,Batman: Arkham Origins,/games/batman-arkham-origins/pc-165718,PC,7.8,Action,N,2013,10,25,2.39
Amazing,Batman: Arkham Knight,/games/batman-arkham-knight/ps4-20014107,PlayStation 4,9.2,Action,Y,2015,6,19,3.79
