score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Good,Commandos: Beyond the Call of Duty,/games/commandos-beyond-the-call-of-duty/pc-11528,PC,7.9,Strategy,N,1999,4,22,0.0
Amazing,Call of Duty,/games/call-of-duty/pc-550042,PC,9.3,Shooter,Y,2003,10,27,0.0
Great,Call of Duty 2,/games/call-of-duty-2/pc-620769,PC,8.5,Shooter,Y,2005,10,25,2.02
Great,Call of Duty 3,/games/call-of-duty-3/xbox-826800,Xbox,8.8,Shooter,Y,2006,11,9,2.71
Okay,Call of Duty: Roads to Victory,/games/call-of-duty-roads-to-victory/psp-862822,PlayStation Portable,6.6,Shooter,N,2007,3,15,2.14
Amazing,Call of Duty 4: Modern Warfare,/games/call-of-duty-4-modern-warfare/pc-902593,PC,9.4,Shooter,Y,2007,11,5,9.32
Amazing,Call of Duty: World at War,/games/call-of-duty-world-at-war/ps3-14222039,PlayStation 3,9.2,Shooter,Y,2008,11,11,7.37
Amazing,Call of Duty: Modern Warfare 2,/games/call-of-duty-modern-warfare-2/pc-14280895,PC,9.5,Shooter,Y,2009,11,10,13.51
Great,Call of Duty: Modern Warfare: Mobilized,/games/call-of-duty-modern-warfare-mobilized/nds-23293,Nintendo DS,8.0,Shooter,N,2009,11,10,0.43
Good,Call of Duty: Black Ops,/games/call-of-duty-black-ops/wii-14349503,Wii,7.5,Shooter,N,2010,11,11,14.64
Amazing,Call of Duty: Modern Warfare 3,/games/call-of-duty-modern-warfare-3/pc-63810,PC,9.0,Shooter,Y,2011,11,9,14.76
Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/pc-126314,PC,9.3,Shooter,Y,2012,11,13,14.03
Great,Call of Duty: Ghosts,/games/call-of-duty-ghosts/ps4-163213,PlayStation 4,8.8,Shooter,N,2013,11,5,10.21
Amazing,Call of Duty: Advanced Warfare,/games/call-of-duty-advance-warfare/xbox-one-20008259,Xbox One,9.1,Shooter,Y,2014,11,3,7.6
Good,Call of Duty: Black Ops III,/games/call-of-duty-black-ops-3/ps3-20038441,PlayStation 3,7.0,Shooter,N,2015,11,12,0.0
