score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Great,Marvel vs. Capcom: Clash of Super Heroes,/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967,Dreamcast,8.8,Fighting,Y,1999,10,7,0.78
Amazing,Marvel vs. Capcom 2: New Age of Heroes,/games/marvel-vs-capcom-2/dc-14736,Dreamcast,9.3,Fighting,Y,2000,6,29,0.76
Great,Capcom vs. SNK: Millennium Fight 2000,/games/capcom-vs-snk-millennium-fight-2000/dc-15530,Dreamcast,8.8,Fighting,N,2000,11,13,0.0
Great,Capcom vs. SNK 2: Mark of the Millennium 2001,/games/capcom-vs-snk-2-fan/ps2-16519,PlayStation 2,8.4,Fighting,N,2001,11,6,0.75
Great,Capcom vs. SNK: Millennium Fight 2000 Pro,/games/capcom-vs-snk-millennium-fight-2000-pro/ps-487780,PlayStation,8.2,Fighting,N,2002,8,7,0.05
Okay,Capcom Fighting Evolution,/games/capcom-fighting-evolution/ps2-683099,PlayStation 2,6.8,Fighting,N,2004,11,16,0.2
Great,Capcom Classics Collection Vol. 1,/games/capcom-classics-collection-vol-1/ps2-728336,PlayStation 2,8.1,"Action, Compilation",N,2005,9,23,0.0
Great,Capcom Classics Collection Reloaded,/games/capcom-classics-collection-reloaded/psp-822201,PlayStation Portable,8.0,"Action, Compilation",N,2006,10,18,0.33
Good,Capcom Classics Collection Vol. 2,/games/capcom-classics-collection-vol-2/ps2-828720,PlayStation 2,7.0,"Action, Compilation",N,2006,11,27,0.0
Awful,SNK vs. Capcom Card Fighters DS,/games/snk-vs-capcom-card-fighters-ds/nds-814505,Nintendo DS,3.5,"Card, Battle",N,2007,5,17,0.1
Amazing,Marvel vs. Capcom 2,/games/marvel-vs-capcom-2/ps3-14269801,PlayStation 3,9.0,Fighting,Y,2009,7,28,0.0
Good,Capcom Arcade,/games/capcom-arcade/iphone-88389,iPhone,7.5,Compilation,N,2010,11,5,0.0
Amazing,Tatsunoko vs. Capcom: Ultimate All Stars,/games/tatsunoko-vs-capcom-cross-generation-of-heroes/wii-14281713,Wii,9.0,Fighting,Y,2010,1,22,0.0
Great,Ultimate Marvel Vs. Capcom 3,/games/ultimate-marvel-vs-capcom-3/ps3-113703,PlayStation 3,8.5,Fighting,N,2011,11,14,0.0
Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2012,9,26,0.24
