score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Bad,Mortal Kombat Trilogy,/games/mortal-kombat-trilogy/n64-454,Nintendo 64,4.1,Fighting,N,1996,11,20,2.79
Awful,Mortal Kombat Mythologies: Sub-Zero,/games/mortal-kombat-mythologies-sub-zero/n64-1914,Nintendo 64,3.0,Platformer,N,1997,12,8,0.68
Great,Mortal Kombat 4,/games/mortal-kombat-4/n64-1912,Nintendo 64,8.8,Fighting,N,1998,6,24,1.46
Okay,Mortal Kombat Gold,/games/mortal-kombat-gold/dc-10950,Dreamcast,6.3,Fighting,N,1999,9,8,0.0
Awful,Mortal Kombat Special Forces,/games/mortal-kombat-special-forces/ps-11729,PlayStation,3.0,Action,N,2000,7,11,0.0
Great,Mortal Kombat: Deadly Alliance,/games/mortal-kombat-deadly-alliance/gcn-17208,GameCube,8.6,Fighting,Y,2002,11,19,2.49
Great,Mortal Kombat: Tournament Edition,/games/mortal-kombat-tournament-edition/gba-536084,Game Boy Advance,8.5,Fighting,Y,2003,8,28,0.01
Great,Mortal Kombat: Deception,/games/mortal-kombat-deception/xbox-657804,Xbox,8.8,Fighting,Y,2004,10,1,1.88
Great,Mortal Kombat: Shaolin Monks,/games/mortal-kombat-shaolin-monks/xbox-709116,Xbox,8.0,"Fighting, Action",N,2005,9,16,0.69
Great,Mortal Kombat: Armageddon,/games/mortal-kombat-armageddon/xbox-794353,Xbox,8.5,Fighting,Y,2006,10,9,1.06
Good,Mortal Kombat II,/games/mortal-kombat-2/ps3-874204,PlayStation 3,7.3,Fighting,N,2007,4,13,1.93
Good,Mortal Kombat vs. DC Universe,/games/mortal-kombat-vs-dc-universe/xbox-360-853443,Xbox 360,7.5,Fighting,N,2008,11,15,2.0
Great,Mortal Kombat,/games/mortal-kombat/ps3-14317281,PlayStation 3,8.0,Fighting,N,2011,4,19,2.85
Great,Mortal Kombat X,/games/mortal-kombat-x/xbox-one-20019308,Xbox One,8.4,Fighting,N,2015,4,13,2.7
