score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Good,Road & Track Presents: The Need for Speed,/games/road-and-track-presents-the-need-for-speed/ps-1864,PlayStation,7.0,Racing,N,1996,11,25,1.0
Okay,Need for Speed II,/games/need-for-speed-collection/ps-739,PlayStation,6.0,Racing,N,1997,4,3,0.0
Good,Need for Speed III: Hot Pursuit,/games/need-for-speed-iii-hot-pursuit/pc-3900,PC,7.3,Racing,N,1998,10,13,3.12
Great,Need for Speed: High Stakes,/games/need-for-speed-high-stakes/ps-10968,PlayStation,8.8,Racing,Y,1999,3,24,0.0
Good,Need for Speed: Porsche Unleashed,/games/need-for-speed-porsche-unleashed/pc-13845,PC,7.9,Racing,N,2000,3,31,0.77
Good,Need for Speed: Hot Pursuit 2,/games/need-for-speed-hot-pursuit-808631/xbox-481335,Xbox,7.1,Racing,N,2002,9,30,2.11
Great,Need for Speed Underground,/games/need-for-speed-underground/gcn-552526,GameCube,8.8,Racing,Y,2003,11,14,7.2
Amazing,Need for Speed Underground 2,/games/action-replay-ultimate-codes-need-for-speed-underground-2/xbox-679033,Xbox,9.1,Racing,Y,2004,11,12,6.9
Good,Need for Speed Underground Rivals,/games/need-for-speed-underground-rivals/psp-664929,PlayStation Portable,7.9,Racing,N,2005,3,21,1.32
Good,Need for Speed Carbon,/games/need-for-speed-carbon/gcn-837021,GameCube,7.8,Racing,N,2006,10,28,1.66
Good,Need for Speed ProStreet,/games/need-for-speed-prostreet/cell-910239,Wireless,7.0,Racing,N,2007,11,2,0.0
Mediocre,Need for Speed Undercover,/games/need-for-speed-undercover/pc-14261964,PC,5.0,"Racing, Action",N,2008,11,19,0.0
Amazing,Need for Speed Shift,/games/need-for-speed-shift/xbox-360-14319193,Xbox 360,9.0,Racing,Y,2009,9,10,0.0
Okay,Need for Speed World,/games/need-for-speed-world/pc-14319201,PC,6.0,Racing,N,2010,8,6,0.0
Amazing,Need for Speed: Hot Pursuit,/games/need-for-speed-hot-pursuit/ps3-1320,PlayStation 3,9.0,Racing,Y,2010,11,8,2.81
Okay,Need for Speed: The Run,/games/need-for-speed-the-run/ps3-107125,PlayStation 3,6.5,Racing,N,2011,11,14,2.04
Okay,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,iPhone,6.9,"Racing, Action",N,2012,10,30,0.0
Great,Need for Speed Rivals,/games/need-for-speed-rivals/pc-144773,PC,8.0,Racing,N,2013,11,20,1.89
Okay,Need for Speed,/games/need-for-speed-2015/ps4-20017575,PlayStation 4,6.3,Racing,N,2015,11,3,0.0
